town,distance_km
ANG MO KIO,0.5534852123851953
BEDOK,0.5694158127622992
BISHAN,0.5947373544504383
BUKIT BATOK,0.6700384437287341
BUKIT MERAH,0.561196058689384
BUKIT PANJANG,0.2670315969383604
BUKIT TIMAH,0.26494708463062
CENTRAL AREA,0.23987878392281362
CHOA CHU KANG,0.499646532788319
CLEMENTI,0.6623340882670045
GEYLANG,0.3676470177786168
HOUGANG,0.7854598313969132
JURONG EAST,0.8160819509195458
JURONG WEST,0.784395293840182
KALLANG,0.43766564269940883
MARINE PARADE,1.8749341334126395
PASIR RIS,1.0462649751487096
PUNGGOL,0.23377267905627208
QUEENSTOWN,0.4440056514194591
SEMBAWANG,0.523796433304732
SENGKANG,0.25769594864142614
SERANGOON,0.9910262925668153
TAMPINES,0.5564049428846537
TOA PAYOH,0.5503186092696914
WOODLANDS,0.5614236019551961
YISHUN,0.8042479226013944
